한글,영어
메세지를 받다,get a message
팩스를 받다,get a fax
새 차를 뽑다,get a new car
취직하다,get a job
머리를 자르다,get a haircut
독감 주사를 맞다,get a flu shot
커피를 주문하다,get a coffee
눈이 많이 오다,get a lot of snow
환불받다,get a refund
할인을 받다,get a discount
새 컴퓨터를 장만하다,get a new computer
포인트를 쌓다,get points
테이블을 맡다,get a table
좌석을 확보하다,get a seat
라식 수술을 받다,get Lasik surgery
꿈이 있다,have a dream
머리가 아프다,have a headache
친구가 많다,have a lot of friends
열이 나다,have a fever
아들만 둘이다,have two sons
아침을 먹다,have breakfast
감기에 걸리다,have a cold
점이 있다,have a mole
다래끼가 나다,have a sty
자신 있다,have confidence
머리가 짧다,have short hair
건물주다(건물이 있다),have a building
가정이 있다,have a family
재미있다,have fun
통증이 있다,have pain